,Total_Population2020,white_2020,black_2020,native_2020,asian_pi_2020,hisp_2020,pct_white_2020,pct_black_2020,pct_native_2020,pct_asian_pi_2020,pct_hispanic_2020,pov_idx,haz_idx,tcost_idx,pct_poor_ns,pct_nonwhite,hh_pct_white_lt30ami,hh_pct_black_lt30ami,hh_pct_hisp_lt30ami,hh_pct_ai_pi_lt30ami,stusab,state,state_name,county,county_name,tract
27292,1806,1714,0,2,10,23,94.905869324,0.0,0.1107419712,0.553709856,1.2735326689,47.0,62.0,,10.14,4.0058622374,100.0,0.0,5.33,0.0,IL,17,Illinois,109,McDonough County,10200
27293,1973,1722,37,0,65,66,87.278256462,1.8753167765,0.0,3.2944754181,3.3451596553,55.0,62.0,,8.55,13.125267208,100.0,0.0,0.0,0.0,IL,17,Illinois,109,McDonough County,10300
27294,1031,639,159,4,133,44,61.978661494,15.421920466,0.3879728419,12.900096993,4.2677012609,46.0,95.0,,10.38,25.248508946,88.71,6.45,4.84,0.0,IL,17,Illinois,109,McDonough County,10401
27295,3565,2485,473,9,146,259,69.705469846,13.267882188,0.252454418,4.095371669,7.2650771388,57.0,83.0,,8.12,9.8740554156,87.74,3.58,7.55,0.0,IL,17,Illinois,109,McDonough County,10402
27296,2143,1651,261,4,29,60,77.041530565,12.179188054,0.1866542231,1.3532431171,2.7998133458,37.0,62.0,,12.98,20.350877193,100.0,0.0,0.0,0.0,IL,17,Illinois,109,McDonough County,10600
27297,4017,3531,142,4,63,94,87.901418969,3.5349763505,0.0995767986,1.568334578,2.3400547672,49.0,62.0,,9.8,11.40370453,100.0,0.0,0.0,0.0,IL,17,Illinois,109,McDonough County,10700
27298,2324,1939,131,12,59,97,83.43373494,5.6368330465,0.5163511188,2.5387263339,4.17383821,34.0,62.0,,13.81,12.808842653,79.22,1.04,20.78,0.0,IL,17,Illinois,109,McDonough County,10900
27299,2182,2076,5,7,3,32,95.142071494,0.229147571,0.3208065995,0.1374885426,1.4665444546,42.0,66.0,,11.36,3.1431334623,100.0,0.0,4.76,0.0,IL,17,Illinois,109,McDonough County,11000
27300,2700,2601,1,4,7,13,96.333333333,0.037037037,0.1481481481,0.2592592593,0.4814814815,26.0,66.0,,16.62,0.9193776521,100.0,0.0,2.44,0.0,IL,17,Illinois,109,McDonough County,11100
27301,2043,1504,247,0,42,222,73.617229564,12.090063632,0.0,2.0558002937,10.866372981,0.0,57.0,,68.0,43.556280587,100.0,28.57,0.0,0.0,IL,17,Illinois,109,McDonough County,980000
27450,3064,2890,20,0,19,41,94.321148825,0.6527415144,0.0,0.6201044386,1.3381201044,44.0,66.0,,10.86,0.6424670736,100.0,0.0,0.0,0.0,IL,17,Illinois,117,Macoupin County,956000
27451,3099,2897,20,7,7,38,93.481768312,0.645369474,0.2258793159,0.2258793159,1.2262020006,48.0,57.0,,9.9,2.7574750831,95.58,3.54,0.0,0.0,IL,17,Illinois,117,Macoupin County,956100
27452,2333,2226,6,11,5,26,95.413630519,0.2571795971,0.471495928,0.2143163309,1.1144449207,24.0,57.0,,17.79,2.3920028561,96.77,0.0,2.58,0.0,IL,17,Illinois,117,Macoupin County,956200
27453,3073,2864,25,7,35,34,93.198828506,0.81353726,0.2277904328,1.138952164,1.1064106736,83.0,62.0,,3.62,7.3055028463,100.0,0.0,0.0,0.0,IL,17,Illinois,117,Macoupin County,956300
27454,5329,4831,104,14,33,64,90.654907112,1.9515856634,0.2627134547,0.6192531432,1.2009757928,20.0,67.0,,19.43,9.0980392157,87.88,0.0,4.55,0.0,IL,17,Illinois,117,Macoupin County,956400
27455,2506,2361,15,6,1,23,94.213886672,0.5985634477,0.2394253791,0.0399042298,0.9177972865,42.0,56.0,,11.37,0.7933194154,100.0,0.0,0.0,0.0,IL,17,Illinois,117,Macoupin County,956500
27456,4575,4327,29,6,7,42,94.579234973,0.6338797814,0.131147541,0.1530054645,0.9180327869,54.0,57.0,,8.74,2.2060398372,88.46,0.0,7.69,0.0,IL,17,Illinois,117,Macoupin County,956600
27457,4011,3558,108,10,16,68,88.70605834,2.6925953628,0.2493143854,0.3989030167,1.695337821,42.0,57.0,,11.55,8.6305811923,72.12,23.64,0.0,0.0,IL,17,Illinois,117,Macoupin County,956700
